time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
0.3,-1.89708566520255e-16,0.0790083585618925,-4.76227524968857e-16,-6.58536341818921e-16,-1.05587725607424e-14,-3.12871334371922e-15,80,0.237788873409609,0.0790083585618977,7.53707634815082e-14,-5.14033260401447e-15,0.773758553262649,-6.26744862385643e-13,-9.77298959948347,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.99276071439594e-12,4.11226608321158e-13
0.31,-1.98796256071348e-16,0.0790083585618924,-5.0808454986117e-16,-6.56047225461114e-16,-1.08982443807184e-14,-3.22262411860758e-15,80,0.237788873409609,0.0790083585618977,7.53233366568781e-14,-5.28466159721575e-15,0.77375855326265,-6.26525448578564e-13,-9.77298959948347,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.98647538696746e-12,4.2277292777726e-13
0.32,-2.07930528580239e-16,0.0790083585618923,-5.40877837828428e-16,-6.53082483709598e-16,-1.12341649023313e-14,-3.315380403929e-15,80,0.237788873409609,0.0790083585618978,7.52768581251357e-14,-5.44009282066327e-15,0.773758553262651,-6.26315389708367e-13,-9.77298959948348,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.98019131605321e-12,4.35207425653061e-13
0.33,-2.17105965128488e-16,0.0790083585618922,-5.74595769139692e-16,-6.49692401976008e-16,-1.15659758055833e-14,-3.40697485613266e-15,80,0.237788873409609,0.0790083585618978,7.52313154997242e-14,-5.59552404411079e-15,0.773758553262651,-6.26114236904004e-13,-9.77298959948348,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.97390840609156e-12,4.47641923528863e-13
0.34,-2.26317627079121e-16,0.0790083585618921,-6.09226661293556e-16,-6.45923785133575e-16,-1.18953055417543e-14,-3.49740226894343e-15,80,0.237788873409609,0.0790083585618978,7.51866963538652e-14,-5.73985303731206e-15,0.773758553262652,-6.25921572483968e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.96762656635732e-12,4.59188242984965e-13
0.35,-2.35561024143429e-16,0.079008358561892,-6.44758789437767e-16,-6.41820206299877e-16,-1.2219985314244e-14,-3.58665937294673e-15,80,0.237788873409609,0.0790083585618979,7.51429882391906e-14,-5.89528426075958e-15,0.773758553262652,-6.25737007470356e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.96134571061713e-12,4.71622740860766e-13
0.36,-2.44832084686653e-16,0.0790083585618918,-6.81180404864792e-16,-6.37422236466513e-16,-1.2539570021839e-14,-3.67474465215063e-15,80,0.237788873409609,0.0790083585618979,7.51001787026093e-14,-6.06181771445335e-15,0.773758553262653,-6.25560179305235e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.9550657568116e-12,4.84945417156268e-13
0.37,-2.54127128101645e-16,0.0790083585618917,-7.18479751746518e-16,-6.32767656506584e-16,-1.28557131430415e-14,-3.761658176125e-15,80,0.237788873409609,0.0790083585618979,7.50582553015584e-14,-6.20614670765462e-15,0.773758553262653,-6.25390749752898e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.94878662676225e-12,4.9649173661237e-13
0.38,-2.63442839093248e-16,0.0790083585618916,-7.56645082257794e-16,-6.27891652967318e-16,-1.31664584083207e-14,-3.84740144643171e-15,80,0.237788873409609,0.0790083585618979,7.50172056177764e-14,-6.3504757008559e-15,0.773758553262653,-6.25228402972961e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.94250824590109e-12,5.08038056068472e-13
0.39,-2.7277624372864e-16,0.0790083585618915,-7.95664670226175e-16,-6.22826998941512e-16,-1.34731296904676e-14,-3.93197725616433e-15,80,0.237788873409609,0.079008358561898,7.49770172697247e-14,-6.50590692430342e-15,0.773758553262653,-6.25072843750424e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.93623054302114e-12,5.20472553944273e-13
